id,id-new,genreNo,favorite,songName_text,songDetail_text,songSubtitle_text,starMax,combinedTier,combinedTierUra,clearTier,dfcTier,clearTierUra,dfcTierUra,date,debut,source,volume,replaygain,order,starEasy,starNormal,starHard,starMania,starUra,shinutiEasy,shinutiNormal,shinutiHard,shinutiMania,shinutiUra,shinutiEasyDuet,shinutiNormalDuet,shinutiHardDuet,shinutiManiaDuet,shinutiUraDuet,scoreEasy,scoreNormal,scoreHard,scoreMania,scoreUra,branchEasy,branchNormal,branchHard,branchMania,branchUra,songName_font,songDetail_font,songSubtitle_font,previewPos,fumenOffsetPos,tjaFileHash,areFilesGZipped,uniqueId,songFileName
umiiko,,0,False,Iiko Shinkaron,,ECCHAN feat. O-LuHA,9,0.0,0.0,,,,,2020-12-23,Nijiiro,Nijiiro,1.0,-6.45,10,3,6,7,9,0,7180,3900,2140,1460,0,7180,3900,2140,1460,1000,1001340,1000100,1000400,1003220,0,False,False,False,False,False,1,1,1,82668,20,0,False,1,song_umiiko
evedrm,,0,False,Dramaturgy,,Eve,8,0.0,0.0,,,,,2019-06-01,Green,Nijiiro,1.0,-7.14,11,2,2,3,5,8,16570,11290,7560,4970,2320,16570,11290,7560,4960,2320,1000100,1000620,1000260,1001830,1000900,False,False,False,False,False,1,1,1,60434,20,0,False,209,song_evedrm
tuykrb,,0,False,Compared Child,,TUYU,7,0.0,0.0,,,,,2022-09-07,Nijiiro,Nijiiro,1.0,-6.35,12,2,2,5,7,0,8700,5210,3060,2090,0,8700,5200,3060,2080,1000,1000100,1001700,1001160,1004110,0,False,False,False,False,False,1,1,1,61947,20,0,False,1,song_tuykrb
siruvu,,0,False,S'il Vous President,,Pmarusama,7,0.0,0.0,,,,,2021-12-01,iOS/AR,iOS/AR,1.0,-6.43,13,3,4,5,7,0,8440,5020,3380,2270,0,8440,5020,3380,2270,0,1001020,1000060,1001320,1000620,0,False,False,False,False,False,1,1,1,50058,0,0,False,1180,song_siruvu
evensb,,0,False,Literary Nonsense,,Eve,7,0.0,0.0,,,,,2019-10-17,Green,Nijiiro,1.0,-7.07,14,2,2,4,7,0,18440,8150,4640,2410,0,18440,8150,4640,2400,0,1000360,1000500,1000960,1003960,0,False,False,False,False,False,1,1,1,44712,20,0,False,210,song_evensb
watakw,,0,False,Watashino Ichiban Kawaii Tokoro,,FRUITS ZIPPER,7,0.0,0.0,,,,,2023-02-09,NS2,NS2,0.71,-3.59,15,2,3,5,7,0,13810,8280,4130,2790,0,13810,8280,4130,2780,0,1000520,1000300,1000300,1003230,0,False,False,False,False,False,1,1,1,52025,0,0,False,2091,song_watakw
gimcho,,0,False,Gimme Chocolate!!,,BABYMETAL,10,9.0,9.0,,,Strong,D,2015-07-09,PS Vita,PS4,1.0,-7.69,16,4,6,7,8,10,5260,2950,1470,1170,890,5260,2940,1470,1170,890,1001140,1003300,1004140,1007370,1011040,False,False,False,False,False,1,1,1,122281,20,0,False,858,song_gimcho
xb1_natsuj,natsuj,0,False,Natsu Matsuri -Jitterin' Jinn Mix-,,JITTERIN'JINN,10,8.25,8.25,,,Moderate,C,2021-07-28,Nijiiro,XB1,1.0,0.0,17,4,4,6,7,10,5660,3970,2210,1720,1180,500,500,500,500,500,1000760,1001870,1000890,1004360,1004860,False,False,False,False,False,1,1,1,61281,0,0,False,1,song_xb1_natsuj
holovd,,0,False,Overd,Hololive,Takane Lui,10,3.0,3.0,,,Weak,?,2023-02-16,Nijiiro,NS2,0.71,-1.92,18,3,4,5,7,10,6880,4140,2790,2260,1370,6880,4140,2790,2260,1370,1001000,1002140,1000820,1000960,1006010,False,False,False,False,False,1,1,1,48791,0,0,False,2087,song_holovd
hol6po,,0,False,Roppon no Bara to Sai no Uta,Hololive,Bara☆Dice,10,12.0,12.0,,,Strong,?,2022-11-17,Nijiiro,NS2,0.71,-3.68,19,2,2,3,6,10,11160,5780,3250,1950,850,11160,5780,3250,1940,850,1000480,1000080,1001850,1004300,1009550,False,False,False,False,False,1,1,1,80100,0,0,False,2067,song_hol6po
tamlb1,,0,False,Super D&D ～Kanzen ni Lead Shite I-my-me～,,Muratatam & Ladybeard,10,3.25,0.0,Weak,E,,,2018-08-18,Blue,Nijiiro,1.0,-8.19,20,4,6,7,10,0,4880,3220,2110,990,0,4880,3220,2110,990,0,1001320,1001680,1000200,1000900,0,False,False,False,False,False,1,1,1,70130,20,0,False,682,song_tamlb1
teleca,,0,False,Telecastic fake show,,Ling Tosite Sigure,10,8.25,0.0,Moderate,C,,,2012-07-25,KATSU-DON,iOS/AR,1.0,-9.01,21,4,6,7,10,0,4700,3620,1760,1000,0,4700,3620,1760,1010,0,1000700,1000900,1005240,1001200,0,False,False,False,False,False,1,1,1,81087,0,0,False,1186,song_teleca
skoant,,0,False,ANTI-HERO,,SEKAI NO OWARI,9,0.0,0.0,,,,,2015-12-10,White,WiiU3,1.0,-5.09,22,3,4,5,8,9,8860,6170,3070,2300,1670,8860,6170,3070,2290,1670,1000720,1000970,1002280,1004000,1002000,False,False,False,False,False,1,1,1,54908,0,0,False,1288,song_skoant
nulite,,0,False,Atarashii Hikari,,9mm Parabellum Bullet,9,0.0,0.0,,,,,2012-05-11,iOS/AR,iOS/AR,1.0,-9.1,23,5,6,8,9,0,3700,3190,1510,1010,0,3700,3180,1510,1010,0,1001000,1003090,1005660,1009490,0,False,False,False,False,False,1,1,1,81591,0,0,False,1169,song_nulite
wgbhfm,,0,False,Hana Furumai,,Wagakki Band,9,0.0,0.0,,,,,2015-07-01,AC0 Murasaki,Nijiiro,1.0,-7.62,24,4,5,7,9,0,4460,3290,1650,1070,0,4460,3290,1650,1070,0,1001080,1001980,1004700,1001440,0,False,False,False,False,False,1,1,1,76608,20,0,False,786,song_wgbhfm
lassen,,0,False,Lassen Gorelai,,8.6-second Bazooka,9,0.0,0.0,,,,,2015-05-28,AC0 Murasaki,Nijiiro,1.0,-6.95,25,3,5,5,7,9,6470,4620,2710,1780,1250,6470,4620,2700,1780,1250,1001510,1000060,1002960,1000880,1007500,False,False,False,False,False,1,1,1,27560,20,0,False,410,song_lassen
umneko,,0,False,Neko Thank You,,Yuuyami ni Izanaishi Shikkoku no Angel,9,0.0,0.0,,,,,2020-06-09,Nijiiro,Nijiiro,1.0,-9.17,26,4,5,7,9,0,7140,4160,2520,1560,0,7140,4160,2520,1550,0,1000760,1001340,1000940,1005440,0,False,False,False,False,False,1,1,1,52982,20,0,False,761,song_umneko
punish,,0,False,Punishment,,9mm Parabellum Bullet,9,0.0,0.0,,,,,2009-07-14,AC12.5,AC0,1.0,-8.06,27,4,4,8,9,0,6380,3870,1480,1000,0,6400,3890,1490,1010,0,1000480,1000390,1002520,1007000,0,False,False,False,False,False,1,1,1,48828,0,0,False,1450,song_punish
sidos,,0,False,S,Sadako 3D,SID,9,0.0,0.0,,,,,2012-11-27,KATSU-DON,AC0,1.0,-8.14,28,3,4,5,9,0,9070,6580,3650,1650,0,9120,6620,3680,1650,0,1000030,1000100,1000250,1001600,0,False,False,False,False,False,1,1,1,51363,0,0,False,1463,song_sidos
rip_speedk,RIP_speedk,0,False,SPEED KING,,RIP SLYME,9,0.0,0.0,,,,,2010-07-23,iOS,iOS,1.0,-7.51,29,4,5,7,9,0,4440,3860,2150,1360,0,3650,3650,3650,3650,0,1001760,1001220,1003450,1003260,0,False,False,False,False,False,1,1,1,67901,0,0,False,1574,song_rip_speedk
alxwtr,,0,False,Watari-dori,,[Alexandros],9,0.0,0.0,,,,,2016-12-20,Red,Nijiiro,1.0,-7.86,30,3,4,6,9,0,11670,6170,3390,2030,0,11670,6170,3390,2030,0,1000250,1001170,1002170,1000630,0,False,False,False,False,False,1,1,1,43721,20,0,False,52,song_alxwtr
umaba3,,0,False,AV-A-MI,,Avntis,8,0.0,0.0,,,,,2020-07-29,Nijiiro,Nijiiro,1.0,-4.96,31,2,3,4,8,0,8280,5270,2970,1510,0,8280,5270,2960,1510,0,1001100,1000060,1002510,1000430,0,False,False,False,False,False,1,1,1,12099,20,0,False,755,song_umaba3
ageage,,0,False,Age Age Every Knight,,DJ OZMA,8,0.0,0.0,,,,,2007-07-26,AC10,iOS,1.0,-6.91,32,3,4,6,8,0,6240,4750,2390,1730,0,6240,4750,2390,1730,0,1001100,1001000,1002020,1005130,0,False,False,False,False,False,1,1,1,12650,0,0,False,1528,song_ageage
apollo,,0,False,Apollo,,Porno Graffiti,8,0.0,0.0,,,,,2017-10-26,PS4,PS4,1.0,-6.99,33,2,4,4,2,8,14410,7650,4720,4380,1950,14410,7650,4720,4370,1950,1000490,1000500,1001320,1000960,1003950,False,False,False,False,False,1,1,1,55825,20,0,False,837,song_apollo
dasbou,,0,False,Bokenshatachi,,Do As Infinity,8,0.0,0.0,,,,,2014-06-26,iOS,iOS,1.0,-6.84,34,4,5,5,8,0,6610,4870,2610,1440,0,6610,4870,2610,1430,0,1000800,1000380,1000290,1006480,0,False,False,False,False,False,1,1,1,57115,0,0,False,1541,song_dasbou
bymy,,0,False,Bye My Melody,,Ken Hirai,8,0.0,0.0,,,,,2006-12-07,CS7,AC9,0.71,-8.23,35,4,4,6,8,0,8900,6440,3650,2290,0,9000,6520,3710,2330,0,1001100,1001220,1001050,1003420,0,False,False,False,False,False,1,1,1,79870,0,0,False,1831,song_bymy
byosin,,0,False,Byoushinwo Kamu,,ZUTOMAYO,8,0.0,0.0,,,,,2020-07-29,Nijiiro,Nijiiro,1.0,-6.04,36,2,4,5,8,0,15570,8890,4190,2480,0,15570,8890,4190,2480,0,1000180,1000580,1001820,1001260,0,False,False,False,False,False,1,1,1,75547,20,0,False,106,song_byosin
smncon,,0,False,Connected World,,somunia,8,0.0,0.0,,,,,2021-04-21,Nijiiro,Nijiiro,1.0,-4.29,37,4,5,5,8,0,5070,3510,2220,1360,0,5080,3510,2220,1360,1000,1000050,1001710,1000020,1002640,0,False,False,False,False,False,1,1,1,109606,20,0,False,1,song_smncon
umdeja,,0,False,Dejavina (Japanese ver.),,Recitals,8,0.0,0.0,,,,,2021-08-05,NS1,NS1,1.0,-6.07,38,3,4,5,8,0,12160,5900,3970,2580,0,12160,5900,3970,2580,0,1000220,1001600,1000270,1003240,0,False,False,False,False,False,1,1,1,53766,0,0,False,1023,song_umdeja
dasdes,,0,False,Desire,,Do As Infinity,8,0.0,0.0,,,,,2014-06-26,iOS,iOS,1.0,-6.48,39,3,3,7,8,0,8490,6650,3040,2230,0,8490,6650,3040,2220,0,1000330,1000750,1001880,1003280,0,False,False,False,False,False,1,1,1,91727,0,0,False,1542,song_dasdes
skodrg,,0,False,Dragon Night,,SEKAI NO OWARI,8,0.0,0.0,,,,,2015-03-11,AC0 Murasaki,Nijiiro,1.0,-5.17,40,3,4,5,8,0,8570,6170,3660,1870,0,8580,6170,3660,1860,0,1000020,1000770,1000960,1004050,0,False,False,False,False,False,1,1,1,87027,20,0,False,636,song_skodrg
ezdo,,0,False,EZ DO DANCE,,TRF,8,0.0,0.0,,,,,2007-07-26,AC10,NS1,1.0,-5.9,41,3,4,6,8,0,10340,7390,3710,1840,0,10340,7380,3710,1840,0,1000240,1000860,1000670,1001220,0,False,False,False,False,False,1,1,1,89363,0,0,False,948,song_ezdo
gunjou,gunjo2,0,False,Gunjou,,YOASOBI,8,0.0,0.0,,,,,2021-07-28,Nijiiro,NS1,1.0,-6.0,42,2,4,6,8,0,9050,3950,2260,1600,0,9050,3950,2260,1600,0,1000900,1000700,1002300,1003100,0,False,False,False,False,False,1,1,1,68502,0,0,False,952,song_gunjou
skohab,,0,False,Habit,xxxHOLiC (Live Action Movie),SEKAI NO OWARI,8,0.0,0.0,,,,,2022-12-08,NS2,NS2,0.71,-1.78,43,2,4,5,7,8,11170,6320,3860,2560,1530,11170,6310,3850,2550,1530,1000730,1001540,1002460,1002940,1003680,False,False,False,False,False,1,1,1,79000,0,0,False,2070,song_skohab
kgnhak,,0,False,Hakujitsu,,King Gnu,8,0.0,0.0,,,,,2020-05-14,NS1,Nijiiro,1.0,-5.4,44,2,2,2,8,0,16550,12710,8110,3120,0,16550,12710,8100,3120,0,1000200,1000180,1000820,1000380,0,False,False,False,False,False,1,1,1,69672,20,0,False,369,song_kgnhak
modhrj,,0,False,Halzion,,MaouDamashii (Koichi Morita),8,0.0,0.0,,,,,2023-03-22,Nijiiro,Nijiiro,1.0,0.0,45,3,5,5,8,0,8580,4590,3300,2090,0,8580,4590,3300,2090,1000,1000480,1000230,1002600,1004310,0,False,False,False,False,False,1,1,1,50664,20,0,False,1,song_modhrj
ybtwed,,0,False,Happy Wedding-mae Song,,Yabai T-Shirts Yasan,8,0.0,0.0,,,,,2019-07-25,Green,Nijiiro,1.0,-8.34,46,1,2,3,6,8,18320,11640,6100,3650,2410,18340,11640,6100,3640,2410,1000080,1000400,1000700,1001800,1002840,False,False,False,False,False,1,1,1,53655,20,0,False,796,song_ybtwed
ymharu,,0,False,Haru wo Tsugeru,,yama,8,0.0,0.0,,,,,2021-04-08,NS1,NS1,1.0,-6.45,47,3,4,7,8,0,10290,5710,3330,2430,0,10290,5710,3330,2430,0,1000230,1001650,1002330,1003590,0,False,False,False,False,False,1,1,1,65533,0,0,False,1031,song_ymharu
kznhel,,0,False,"Hello, Morning",,Kizuna AI,8,0.0,0.0,,,,,2019-06-30,Green,Nijiiro,1.0,-8.75,48,3,4,5,7,8,12450,5750,2990,2130,1660,12450,5750,2990,2120,1660,1000350,1000050,1002260,1003900,1002640,False,False,False,False,False,1,1,1,76208,20,0,False,407,song_kznhel
honnou,,0,False,Honnouji no Hen,,Egu-Splosion,8,0.0,0.0,,,,,2015-12-10,White,Nijiiro,1.0,-4.51,49,3,5,6,8,0,7280,5450,2670,2110,0,7280,5450,2670,2100,0,1001060,1000550,1000210,1004330,0,False,False,False,False,False,1,1,1,1699,20,0,False,283,song_honnou
xb1_iwback,iwback,0,False,I Want You Back,,Jackson 5,8,0.0,0.0,,,,,2021-07-08,NS1,XB1,1.0,0.0,50,3,3,5,8,0,11710,8150,4140,2310,0,500,500,500,500,500,1000750,1001100,1001000,1003210,0,False,False,False,False,False,1,1,1,51506,0,0,False,1,song_xb1_iwback
imymok,,0,False,I my moko,,Haruko Momoi,8,0.0,0.0,,,,,2015-12-10,White,Nijiiro,1.0,-5.19,51,3,5,6,8,0,6610,4310,2760,2140,0,6610,4310,2760,2140,0,1000010,1000410,1000520,1000700,0,False,False,False,False,False,1,1,1,5231,20,0,False,335,song_imymok
kgn1zu,,0,False,Ichizu,,King Gnu,8,0.0,0.0,,,,,2022-06-01,Nijiiro,Nijiiro,1.0,-6.79,52,3,4,5,8,0,10380,5340,3360,2020,0,10380,5330,3360,2020,1000,1000180,1001780,1000920,1001100,0,False,False,False,False,False,1,1,1,62820,20,0,False,1,song_kgn1zu
ikasum,,0,False,Ika SUMMER,,Orange Range,8,0.0,0.0,,,,,2007-07-26,AC10,AC10,0.71,-9.07,53,4,5,5,8,0,5730,4700,2410,1320,0,5540,4570,2410,14690,0,1000920,1001800,1003350,1001860,0,False,False,False,False,False,1,1,1,1621,0,0,False,1814,song_ikasum
hol168,,0,False,IrohaStep!,Hololive,Kazama Iroha,8,0.0,0.0,,,,,2023-02-16,Nijiiro,NS2,0.71,-3.83,54,3,5,6,8,0,7630,4020,2710,1840,0,7630,4020,2710,1840,0,1001000,1000920,1003050,1001040,0,False,False,False,False,False,1,1,1,51802,0,0,False,2086,song_hol168
ynzkdn,,0,False,Kanden,,Kenshi Yonezu,8,0.0,0.0,,,,,2021-01-14,NS1,NS1,1.0,-6.32,55,1,2,4,8,0,17420,10440,5910,2670,0,18740,10440,5910,2660,0,1000340,1000600,1000980,1002410,0,False,False,False,False,False,1,1,1,63333,0,0,False,1032,song_ynzkdn
kenkaj,,0,False,Kenka Joutou,,Kishidan,8,0.0,0.0,,,,,2014-09-10,AC0 Kimidori,WiiU2,1.0,-6.0,56,3,4,5,8,0,6470,4770,2630,1940,0,6480,4770,2630,1940,0,1000080,1000830,1002400,1003840,0,False,False,False,False,False,1,1,1,78740,0,0,False,1306,song_kenkaj
kimiga,,0,False,Kimi ga Iru,Hotaru no Hikari 2,Ikimono Gakari,8,0.0,0.0,,,,,2010-12-02,Wii3,iOS/AR,1.0,-7.14,57,3,4,6,8,0,8870,5640,2980,1680,0,8870,5640,2980,1680,0,1000840,1001140,1000540,1000620,0,False,False,False,False,False,1,1,1,77743,0,0,False,1163,song_kimiga
kokoro,,0,False,Kokoro Odoru,,nobodyknows+,8,0.0,0.0,,,,,2004-12-09,CS5,RC,1.0,-5.08,58,4,4,5,8,0,9100,6460,4190,2990,0,9100,6460,4190,2990,1000,1001000,1001300,1001410,1001650,0,False,False,False,False,False,1,1,1,8250,0,0,False,1,song_kokoro
xjapan,,0,False,Kurenai,,X JAPAN,8,0.0,0.0,,,,,2006-03-23,AC8,Nijiiro,1.0,-6.6,59,3,4,7,8,0,6030,4450,1370,1010,0,6030,4440,1370,1010,0,1001050,1002150,1001490,1008990,0,False,False,False,False,False,1,1,1,113807,20,0,False,793,song_xjapan
anan,,0,False,Kyary ANAN,,Kyary Pamyu Pamyu,8,0.0,0.0,,,,,2013-08-08,iOS,iOS,1.0,-8.33,60,3,4,5,8,0,5820,4840,2300,1400,0,5820,4840,2300,1390,0,1001220,1000400,1001400,1006200,0,False,False,False,False,False,1,1,1,39524,0,0,False,1529,song_anan
kimagr,,0,False,LIFE,,Kimaguren,8,0.0,0.0,,,,,2008-12-11,AC12,AC13,0.71,-7.01,61,3,5,6,8,0,10830,7900,3820,2390,0,10860,7930,3830,18110,0,1000360,1000400,1002120,1001410,0,False,False,False,False,False,1,1,1,74742,0,0,False,1648,song_kimagr
ynlose,,0,False,LOSER,,Kenshi Yonezu,8,0.0,0.0,,,,,2017-10-26,PS4,Nijiiro,1.0,-5.95,62,3,5,6,8,0,11290,4900,3520,2870,0,11290,4900,3520,2860,0,1000320,1001300,1001660,1002390,0,False,False,False,False,False,1,1,1,53773,20,0,False,806,song_ynlose
lovezu,,0,False,Love Zukkyun,,Sotaisei Riron,8,0.0,0.0,,,,,2010-09-08,AC14,iOS,1.0,-6.62,63,4,4,6,8,0,7110,6550,2790,1610,0,7110,6550,2790,1610,0,1000500,1001500,1003020,1002200,0,False,False,False,False,False,1,1,1,91356,0,0,False,1564,song_lovezu
machig,,0,False,Machigai Sagashi,,Masaki Suda,8,0.0,0.0,,,,,2020-07-29,Nijiiro,Nijiiro,1.0,-5.43,64,1,2,4,8,0,23760,17800,8590,5270,0,23760,17800,8590,5260,0,1000320,1000300,1000540,1001730,0,False,False,False,False,False,1,1,1,39023,20,0,False,428,song_machig
samba,,0,False,Matsuken Samba II,,Ken Matsudaira,8,0.0,0.0,,,,,2004-12-09,CS5,3DS2,1.0,-7.29,65,5,5,6,8,0,8070,5440,3530,2590,0,8080,5440,3530,2580,0,1000010,1000720,1000460,1003050,0,False,False,False,False,False,1,1,1,56112,0,0,False,1606,song_samba
mndoor,,0,False,Mayonaka no Door / Stay With Me,,Miki Matsubara,8,0.0,0.0,,,,,2022-11-10,NS2,NS2,0.71,-3.47,66,3,4,5,8,0,12380,8590,4230,2590,0,12380,8590,4220,2590,0,1000400,1000050,1001620,1002750,0,False,False,False,False,False,1,1,1,62675,0,0,False,2064,song_mndoor
memesi,,0,False,Memeshikute,,Goldenbomber,8,0.0,0.0,,,,,2012-07-12,3DS1,Nijiiro,1.0,-7.61,67,3,4,5,8,0,9540,6720,4050,2600,0,9540,6720,4040,2590,0,1000260,1000740,1002200,1002000,0,False,False,False,False,False,1,1,1,1990,20,0,False,445,song_memesi
mnkesk,,0,False,Mita Koto mo Nai Keshiki,au Three Tarous Soccer Support CM Song,Masaki Suda,8,0.0,0.0,,,,,2017-12-21,Yellow,Nijiiro,1.0,-7.07,68,1,2,4,6,8,13000,8640,3790,3000,1730,13000,8640,3790,2990,1730,1000500,1000160,1001190,1001300,1001670,False,False,False,False,False,1,1,1,40672,20,0,False,486,song_mnkesk
nekods,,0,False,Neko,,Dish,8,0.0,0.0,,,,,2021-04-08,NS1,NS1,1.0,-6.03,69,2,3,3,8,0,14850,9040,6540,3200,0,14850,9040,6540,3200,0,1000050,1000300,1000880,1001600,0,False,False,False,False,False,1,1,1,69204,0,0,False,995,song_nekods
spectr,,0,False,Netsujou no Spectrum,,Ikimono Gakari,8,0.0,0.0,,,,,2015-11-26,WiiU3,WiiU3,1.0,-6.56,70,3,4,5,8,0,11950,7140,3600,2290,0,11950,7140,3590,2290,0,1000150,1000860,1002200,1002630,0,False,False,False,False,False,1,1,1,13651,0,0,False,1289,song_spectr
gggdx,,0,False,Ningen tte Ii na,Manga Nippon Mukashi Banashi,GAGAGA DX,8,0.0,0.0,,,,,2009-12-17,AC13,AC13,0.71,-8.19,71,3,4,7,8,0,5930,4690,2710,2030,0,5610,4590,2720,2040,0,1001640,1001280,1001880,1000500,0,False,False,False,False,False,1,1,1,38057,0,0,False,1638,song_gggdx
ninjbb,ninja2,0,False,Ninja Re Bang Bang,,Kyary Pamyu Pamyu,8,0.0,0.0,,,,,2013-07-11,AC0 Sorairo,Nijiiro,1.0,-6.15,72,3,5,6,8,0,7500,4280,2350,1900,0,7500,4280,2350,1900,0,1000100,1000740,1001450,1005100,0,False,False,False,False,False,1,1,1,9460,20,0,False,514,song_ninjbb
naniyt,,0,False,Nothing's Working Out,,meiyo,8,0.0,0.0,,,,,2022-07-27,Nijiiro,Nijiiro,1.0,-5.14,73,3,4,5,8,0,7260,4000,2630,1760,0,7260,4000,2630,1750,1000,1001020,1000200,1001050,1004960,0,False,False,False,False,False,1,1,1,5324,20,0,False,1,song_naniyt
odloop,,0,False,Oddloop,,Frederic,8,0.0,0.0,,,,,2022-11-16,Nijiiro,Nijiiro,1.0,0.0,74,3,4,5,8,0,6260,3930,2470,1430,0,6260,3930,2470,1430,1000,1000240,1000490,1001040,1004350,0,False,False,False,False,False,1,1,1,45891,20,0,False,1,song_odloop
adodo,,0,False,Odo,,Ado,8,0.0,0.0,,,,,2021-12-02,NS1,NS1,1.0,-7.36,75,2,3,5,8,0,9060,5920,3430,2270,0,9060,5920,3430,2270,0,1000700,1000060,1001800,1001130,0,False,False,False,False,False,1,1,1,73336,0,0,False,907,song_adodo
orival,,0,False,Oh! Rival,,Porno Graffiti,8,0.0,0.0,,,,,2015-11-26,WiiU3,WiiU3,1.0,-6.04,76,3,4,7,8,0,9520,6650,3370,2160,0,9520,6650,3370,2160,0,1000680,1000950,1000110,1000360,0,False,False,False,False,False,1,1,1,65781,0,0,False,1284,song_orival
kishi2,kishi,0,False,One Night Carnival,,Kishidan,8,0.0,0.0,,,,,2003-10-06,AC5,NS1,1.0,-7.12,77,3,5,6,8,0,6350,4150,2710,1810,0,6350,4150,2710,1810,0,1000850,1001300,1000970,1002330,0,False,False,False,False,False,1,1,1,18129,0,0,False,969,song_kishi2
ikzo,,0,False,Ora Tokyo-sa Iguda,,IKZO,8,0.0,0.0,,,,,2009-12-17,AC13,AC13,0.71,-5.99,78,3,4,5,8,0,8170,4810,2770,2000,0,8190,4820,2780,2010,0,1000740,1001470,1002430,1000800,0,False,False,False,False,False,1,1,1,34543,0,0,False,1644,song_ikzo
engori,,0,False,Original Color Girls!!!!,,enogu,8,0.0,0.0,,,,,2021-06-01,iOS/AR,iOS/AR,1.0,-6.69,79,3,4,6,8,0,11150,7450,3790,2120,0,11150,7450,3790,2110,0,1000350,1000350,1000390,1002180,0,False,False,False,False,False,1,1,1,71437,0,0,False,1152,song_engori
